iter	Passed	Remaining
0	1	118
1	2	104
2	3	97
3	3	91
4	4	88
5	5	88
6	6	87
7	7	87
8	8	87
9	9	86
10	10	85
11	11	84
12	12	82
13	13	81
14	14	79
15	14	78
16	15	77
17	16	76
18	17	74
19	18	74
20	19	72
21	20	72
22	21	71
23	22	70
24	23	69
25	24	68
26	25	67
27	25	66
28	26	65
29	27	64
30	28	63
31	29	62
32	30	61
33	31	60
34	32	59
35	33	58
36	34	57
37	35	57
38	35	56
39	36	55
40	37	54
41	37	52
42	38	51
43	39	50
44	40	49
45	41	48
46	42	47
47	43	46
48	44	45
49	44	44
50	45	43
51	46	43
52	47	42
53	48	41
54	49	40
55	49	39
56	50	38
57	51	37
58	52	36
59	53	35
60	54	35
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	61	28
68	62	28
69	63	27
70	64	26
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	18
79	71	17
80	72	17
81	73	16
82	74	15
83	75	14
84	76	13
85	77	12
86	78	11
87	79	10
88	80	9
89	81	9
90	81	8
91	82	7
92	83	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	89	0
99	90	0
