iter	Passed	Remaining
0	168	168221
1	170	85184
2	172	57360
3	174	43561
4	177	35251
5	179	29680
6	181	25795
7	184	22848
8	186	20495
9	188	18707
10	191	17176
11	192	15873
12	195	14824
13	197	13886
14	199	13068
15	200	12349
16	203	11751
17	205	11190
18	207	10693
19	209	10260
20	211	9851
21	213	9477
22	214	9131
23	217	8830
24	219	8545
25	220	8278
26	222	8033
27	225	7818
28	227	7601
29	228	7397
30	230	7207
31	232	7040
32	234	6879
33	236	6720
34	238	6571
35	240	6437
36	242	6312
37	244	6186
38	246	6080
39	248	5968
40	250	5862
41	253	5771
42	254	5670
43	256	5573
44	258	5478
45	260	5400
46	262	5325
47	264	5247
48	266	5174
49	268	5102
50	270	5031
51	272	4961
52	274	4900
53	276	4842
54	278	4781
55	280	4721
56	282	4666
57	283	4612
58	285	4559
59	287	4503
60	289	4458
61	291	4414
62	293	4367
63	295	4320
64	297	4280
65	299	4233
66	300	4189
67	302	4150
68	305	4117
69	306	4076
70	308	4036
71	310	4000
72	312	3971
73	314	3939
74	316	3903
75	318	3871
76	320	3841
77	322	3810
78	324	3779
79	325	3747
80	328	3722
81	329	3693
82	330	3656
83	332	3629
84	334	3603
85	336	3577
86	338	3549
87	340	3524
88	342	3502
89	344	3478
90	345	3452
91	347	3429
92	349	3409
93	351	3388
94	353	3365
95	354	3342
96	357	3323
97	359	3306
98	360	3285
99	362	3264
100	364	3245
101	366	3225
102	368	3205
103	369	3185
104	371	3165
105	373	3150
106	375	3135
107	377	3119
108	379	3101
109	381	3085
110	383	3069
111	384	3052
112	386	3035
113	389	3023
114	391	3010
115	393	2994
116	394	2977
117	397	2967
118	399	2955
119	401	2940
120	403	2931
121	405	2920
122	407	2908
123	410	2896
124	412	2887
125	414	2873
126	415	2855
127	416	2839
128	418	2828
129	420	2811
130	421	2793
131	422	2777
132	423	2761
133	424	2746
134	426	2733
135	427	2718
136	429	2703
137	430	2689
138	431	2674
139	433	2662
140	434	2649
141	435	2632
142	436	2618
143	438	2603
144	439	2589
145	440	2577
146	441	2564
147	443	2552
148	444	2538
149	445	2526
150	447	2513
151	448	2504
152	450	2491
153	451	2479
154	452	2466
155	453	2453
156	454	2442
157	456	2432
158	457	2421
159	459	2409
160	459	2395
161	460	2384
162	462	2373
163	464	2366
164	465	2355
165	466	2345
166	468	2335
167	469	2324
168	471	2318
169	473	2310
170	474	2300
171	475	2290
172	477	2281
173	479	2276
174	480	2266
175	481	2255
176	482	2244
177	483	2234
178	484	2224
179	486	2215
180	487	2206
181	488	2196
182	489	2185
183	490	2175
184	491	2165
185	492	2155
186	493	2146
187	494	2137
188	495	2128
189	496	2118
190	498	2109
191	499	2100
192	500	2092
193	501	2083
194	502	2075
195	503	2066
196	504	2058
197	505	2049
198	506	2040
199	509	2039
200	511	2032
201	512	2023
202	513	2015
203	514	2007
204	517	2005
205	518	1997
206	519	1989
207	520	1981
208	521	1973
209	522	1965
210	524	1960
211	525	1952
212	526	1945
213	527	1937
214	528	1930
215	529	1923
216	532	1920
217	533	1914
218	534	1907
219	536	1900
220	537	1893
221	539	1889
222	540	1883
223	541	1876
224	542	1869
225	543	1862
226	545	1858
227	547	1855
228	549	1849
229	550	1842
230	551	1836
231	553	1831
232	554	1826
233	556	1821
234	557	1815
235	558	1808
236	560	1804
237	561	1799
238	563	1793
239	564	1786
240	565	1780
241	566	1773
242	568	1770
243	569	1764
244	570	1759
245	572	1753
246	573	1747
247	574	1742
